example_id,conversation_id,customer_tweet_id,customer_message,gold_intent,label_notes,suggested_intent,length_bucket,is_near_duplicate_of
g041,65879,65880,@115850 Why the hell your expected delivery time and actual delivery time vary so much?  It was showing delivery by 2nd dec and im getting call to collect it today only,delivery_order_status,,delivery_order_status,long,
g042,64083,64081,"@AmazonHelp Ouiiiiiiii, bien suuuuuuuûr... PARCE QUE VOUS ALLEZ AVOIR UN GESTE COMMERCIAL AVEC MOI, PEUT-ÊTRE???? Vous ne l'avez JAMAIS fait, alors...",other,,other,long,
g043,65751,65727,@AmazonHelp @115851 Why my item was delivered after cancelling it through customer care. Why are u People torturing me .fed up past 6 days r true show of amazon,delivery_order_status,,delivery_order_status,long,
g044,65809,65809,@115830 WTF!!! Just been sent 2 parcels of used rubbish 😱😡 https://t.co/25Nlai5L21,delivery_order_status,,delivery_order_status,medium,
g045,65773,65769,@AmazonHelp I was provided with none !!!! 😡 but imagine waking up to another message saying we’ve attempted to deliver today and you weren’t available .. I’m still in my pjs ..  😩😩😩 dies someone want to explain to me what I’m paying for with  this prime thingy ???  Furious,delivery_order_status,,delivery_order_status,long,
g046,65754,65754,"More like @115830 Sub-Prime. 

Late deliveries, no deliveries, unable to arrange replacements. No pro-active comms from Amazon. All in last 3 months at AB30 postcode.",refund_return,,refund_return,long,
g047,67427,67427,@11__credit_card__ could you please provide me whose delivering this and his number cause I gotta leave my house soon,delivery_order_status,,delivery_order_status,medium,
g048,67541,67541,"@AmazonHelp not a happy customer, been charged £80 for amazon prime!!! which I haven’t signed up for?",payment_billing,,payment_billing,medium,
g049,63811,63813,@AmazonHelp Ohk.. please process it fast.,other,,other,short,
g050,67530,67530,@115821 @AmazonHelp I ordered 2 advent calendars on the 22/11 hoping 8 days is plenty of time. Not arrived. No info on when they'll arrive. I'll have two upset boys tomorrow. Thanks Amazon. Bang up job,delivery_order_status,,delivery_order_status,long,
g051,63890,63881,"@AmazonHelp No... I received multiple emails saying this, for multiple items.

There is no estimate for the length of delay.

Your online agents can see no estimate for the length of delay, no dispatch notes, no notes at all.

There is nothing on 'Your Orders' at all. https://t.co/wHOE2o3a0u",delivery_order_status,,delivery_order_status,long,
g052,67507,67493,@AmazonHelp And a few other parcels for other people were left unattended too in a place that anyone could've taken them. Not a safe place at all.,delivery_order_status,,delivery_order_status,long,
g053,69824,69824,"Dear @115830, have you given up completely on next day Prime deliveries? Seems 2 days, 3, however-many-you-like is the new norm. It's certainly not remotely reliable anymore. You're dropping the ball big time...",delivery_order_status,,delivery_order_status,long,
g054,69662,69662,@115850 hey I need help regarding my order.,delivery_order_status,,delivery_order_status,short,
g055,67443,67445,@AmazonHelp Brilliant. Thankyou for the help 😊,other,,other,short,
g056,71917,71917,"Amazon care &amp;third party (""SHOPODEALZ"")bt they can't solved this prob &amp; alwys neglect n prob.its rediculous things tht r happened
@115850 @123644",seller_marketplace,,seller_marketplace,long,
g057,67453,67456,@AmazonHelp No but I remember going through&amp;cancelling as I done it weeks prior to being charged! I don’t have access to my previous amazon email...(1),payment_billing,,payment_billing,long,
g058,69672,69672,Es wäre nur noch der Kaufen Button gewesen... aber @116316 war überlastet :( Jz wieder ausverkauft...,other,,other,medium,
g059,65847,65849,@AmazonHelp I don’t remember &amp; it was through https://t.co/D87xKBstPi,other,,other,medium,
g060,73641,73641,"@AmazonHelp not got my money back delayed from last 2 months 
dont trust this on blindly...",refund_return,,refund_return,medium,
g061,71965,71957,@AmazonHelp Just got an email that it was lost or damaged,item_quality_issue,,item_quality_issue,short,
g062,67472,67471,"@AmazonHelp Ho caricato nuovamente i video già prima, ma per alcuni il backup non si avvia proprio. Mentre per altri si caricano, ma poi ricomiciano a ricaricarsi da capo.. https://t.co/jUoLsen8zn",other,,other,long,
g063,69702,69707,@AmazonHelp We've asked neighbours and checked everywhere and it has not been delivered!!!!,delivery_order_status,,delivery_order_status,medium,
g064,74639,74639,@115821 @115850  i don’t understand y there is return policy.if its only depends on 1.3 rate app and that showing 1/2 https://t.co/jrrcnN2RjB,other,,other,long,
g065,67507,67502,@AmazonHelp I never get a reply or any type of acknowledgement hence I had to raise the issue here with you.,other,,other,medium,
g066,74653,74645,@AmazonHelp Hi! Any updates?,other,,other,short,
g067,74624,74624,Hola señores de Amazon y SEUR si el repartidor recibió mi pedido a las 8:30 POR QUÉ NO ESTÁ YA AQUÍ MI PORTÁTIL Y NO LE ESTOY INSTALANDO AÚN LOS SIMS 4,other,,other,long,
g068,73631,73633,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,,account_access,long,
g069,73496,73489,"@AmazonHelp Yes, but I am not receiving access codes. I cannot login to the Hub website to check my data.",account_access,,account_access,medium,
g070,74564,74563,@AmazonHelp Creo que por Amazon,other,,other,short,
g071,74663,74667,@AmazonHelp Dans ma commande il y a les 2,other,,other,short,
g072,14022,14022,@117093 supervisor Jennifer just hung up on me after refusing 2 provide protocol 4 handling the GreenInsulatedCarriers AF delivers in.  downtown Condos need 2 understand how 2 work w/this new service R small front halls R not designed 4 this service. Was hoping 2 collaborate,delivery_order_status,,delivery_order_status,long,
g073,53271,53271,"@5503 I’m enjoying the @128020  Experience on the @115833 dot. However, I’d prefer to stream it through @118117 speaker. Alexa can’t manage that, despite repeated attempts. During the most recent attempt, Alexa thought I wanted, um, this: https://t.co/VsWvhMHake",device_digital_content,,device_digital_content,long,
g074,10321,10321,"@AmazonHelp I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks",delivery_order_status,,delivery_order_status,medium,
g075,53271,53267,@AmazonHelp I’ve done that several times today; but I’ll try again. What section under Help &amp; Feedback should I select?,other,,other,medium,
g076,21941,21933,"@AmazonHelp what should i do now ?
just forget it ???",other,,other,short,
g077,20468,20465,@AmazonHelp Please do necessary action against courier services,delivery_order_status,,delivery_order_status,medium,
g078,36358,36356,"@AmazonHelp Me he puesto en contacto con ellos. Estoy esperando que me contesten. En este envío no es importante porque no corre prisa, pero lo que es inadmisible es que pongan de escusa que no había nadie en el domicilio cuando en verdad es qué no le da tiempo a entregarlo por otras razones",other,,other,long,
g079,34572,34572,@115850 #worst ever customer service provided. Trying to contact since last 3 days but call is not happening.,service_complaint,,service_complaint,medium,
g080,17216,17212,"@AmazonHelp No use of prime membership, return my money",prime_membership,,prime_membership,short,
g081,15277,15275,@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,service_complaint,,service_complaint,long,
g082,17216,17209,@AmazonHelp After prime membership gaurantied delivery option has vanished now,prime_membership,,prime_membership,medium,
g083,19137,19136,@115850 Third class teturn service so please make sure return product pick up.,delivery_order_status,,delivery_order_status,medium,
g084,5786,5786,"【新  一日一句】10.31

ハロウィンは
クレームさえも
吹き飛ばす🎃

Amazonで
マリオとルイージを買ったのに
マリオとマリオが来たwww

Wルイージよりマシか！笑
ハッピーハロウィン！👻💕 https://t.co/3s4J9MbYAc",other,,other,medium,
g085,25927,25923,@AmazonHelp I never received an alert that my Amazon pay balance was about to expire.,other,,other,medium,
g086,21586,21574,"@AmazonHelp Just did it...I want a commitment of my product or money rite now..be a man and do the rite thing by today, either deliver or refund rite now..else I am going to consumer court with ur replies",refund_return,,refund_return,long,
g087,659,659,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",item_quality_issue,,item_quality_issue,long,
g088,1745,1745,My Kindle not working properly is breaking my heart! 😩💔,device_digital_content,,device_digital_content,short,
g089,3737,3737,@AmazonHelp Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,other,,other,medium,
g090,3737,3736,@AmazonHelp Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,other,,other,medium,
g091,2549,2543,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item",other,,other,medium,
g092,4864,4863,@AmazonHelp They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,delivery_order_status,,delivery_order_status,medium,
g093,8527,8529,@AmazonHelp Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,delivery_order_status,,delivery_order_status,medium,
g094,10626,10626,@117634 I love my new Kindle Oasis! Please tell me that immersion reading will be added in a future update?!,device_digital_content,,device_digital_content,medium,
g095,10645,10645,@AmazonHelp did amazon get hacked?,account_access,,account_access,short,
g096,11046,11046,@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,delivery_order_status,,delivery_order_status,medium,
g097,12549,12515,@AmazonHelp 24 hrs tat was given on written mail on 29th Oct to receive a call but no response since last 60 hrs.Hence we say quality of Amazon has gone,service_complaint,,service_complaint,long,
g098,13180,13179,"@AmazonHelp yes spoke w/ customer service, still canceling my prime though since it does literally nothing apparently",service_complaint,,service_complaint,medium,
g099,11024,11021,@AmazonHelp The carrier doesn't sell free 2 day shipping as part of a membership. Amazon does.,delivery_order_status,,delivery_order_status,medium,
g100,11610,11612,"@AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 

詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ",other,,other,medium,
g101,14281,14281,"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!",delivery_order_status,,delivery_order_status,medium,
g102,12505,12504,@AmazonHelp Nah. Just answer my question please.,other,,other,short,
g103,15277,15272,@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,refund_return,,refund_return,long,
g104,16125,16122,@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,other,,other,medium,
g105,14294,14298,@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,delivery_order_status,,delivery_order_status,long,
g106,16101,16101,Thanks @AmazonHelp for solving my issue . But after 8 day it's really long time you took to solve . But #thanks,other,,other,medium,
g107,17231,17221,@AmazonHelp This form also has a tab which asks for the email address associated with my Amazon account but there is NONE. How do I fill in that? Urghh,other,,other,long,
g108,17897,17890,@AmazonHelp It was updated to 10/30 later but that was also wrong,other,,other,medium,
g109,18411,18411,"@115850 why do u ask people to select a ""suitable"" time slot when ur logistics guys don't show up or bother to call for pickup?",delivery_order_status,,delivery_order_status,medium,
g110,18392,18383,@AmazonHelp Placed the order on 30th October and I am getting it on 2nd November,delivery_order_status,,delivery_order_status,medium,
g111,18901,18897,@AmazonHelp Yes.. not single call got regarding that since Saturday.. I want to return this products and never want to purchase again with amazon,refund_return,,refund_return,long,
g112,18137,18143,@AmazonHelp If nothing happens then I will put on FB also,other,,other,short,
g113,19114,19112,@AmazonHelp This contest commences from today.There was a similar contest whose last date was 31st oct 2017.,other,,other,medium,
g114,20767,20766,@115850  Echo Dot arrived early  11:30 AM all thanks to @120543 👏 https://t.co/amtySnTsFd,device_digital_content,,device_digital_content,medium,
g115,13897,13865,@AmazonHelp you have wasted one month by bullsh****g me. now i am being told itvis out of warranty. issue is reported yo @79087 under warranty.,item_quality_issue,,item_quality_issue,long,
g116,21496,21496,@115850 Got fake mobiles twice instead of my ordered One Plus 5.Its been 15days since I'm struggling.#Shame #fraud #OnePlus5 #AmazonIndia,delivery_order_status,,delivery_order_status,medium,
g117,21033,21028,"@AmazonHelp Hi? I sent in the email but still no reply 20 hours later. Please help out with this, it's really urgent. THanks",service_complaint,,service_complaint,medium,
g118,21944,21944,@115851 @AmazonHelp @115850 @115821 fire the india sales team. For last 6 days they schedule and cancel the pickup. 404-7148114-1043526,delivery_order_status,,delivery_order_status,medium,
g119,18120,18122,"@AmazonHelp With @115850 Wonders will never cease! Now, with respect to my 'DELIVERED' item, i have received the following sms: ...1/n",delivery_order_status,,delivery_order_status,medium,
g120,22542,22542,Hi I returned my order and I followed the proper procedure but got back an empty dabba from post office. @115850 @AmazonHelp PFA photos https://t.co/DmP0UrEttf,delivery_order_status,,delivery_order_status,long,
g121,21884,21886,@AmazonHelp Link Not working,other,,other,short,
g122,22476,22469,@AmazonHelp La réponse a été que je devais voir avec ma banque. Pourtant à l'origine il y a bien eu un problème sur Amazon.fr,other,,other,medium,
g123,22527,22526,"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?",account_access,,account_access,long,
g124,24060,24060,"@115821 your android app has been non responsive for weeks now. Can't search, only displays a puppy. 🤔",other,,other,medium,
g125,22476,22468,@AmazonHelp Oui contacté ma banque et porté plainte pour fraude. Je ne sais pas si je vais pouvoir être remboursée. Etait ce une fraude ou une erreur ?,other,,other,long,
g126,24476,24476,@118919 finally got the echo plus India yayy https://t.co/pZluoJBUGg,device_digital_content,,device_digital_content,medium,
g127,25866,25866,@115850 : Got a really bad experience with support for replacing cracked Kult Mobile. You ask to contact Kult and they point you. https://t.co/Krh5BolYua,other,,other,long,
g128,26946,26946,"@115850  @AmazonHelp @115821 @121899 Never purchase TCL led . Worst services after sales.
Amazon didn't help me even.",service_complaint,,service_complaint,medium,
g129,26878,26878,はぁ…？Amazonで注文したCDのケースの一部が割れてるんだが…PCに取り込んだ後は売ろうと思ってたのに…ふざけんなよ…,other,,other,medium,
g130,25870,25871,"@AmazonHelp The book has been previously published, but I own all rights to it as they reverted back to me this month. 2/2",other,,other,medium,
g131,26926,26923,@AmazonHelp @1713 Bestellung ist storniert und bei Amazon werde ich nie wieder ein Spiel vorbestellen.,other,,other,medium,
g132,26929,26928,@AmazonHelp It was supposed to arrive yesterday and now it's changed to by the 6th. Bit confused with the fact there is partial tracking information.,delivery_order_status,,delivery_order_status,long,
g133,28940,28939,@117086 Preciso de uma máquina para o curso da minha filha!!! Mas após conversas fico sem resposta e o tempo de entrega é absurdo,other,,other,medium,
g134,26934,26932,@AmazonHelp Can’t seem to find any option to play podcasts via Echo. An I missing something?,other,,other,medium,
g135,28469,28467,@AmazonHelp 2/2 lavorativo successo. Ma allora oggi e un giorno lavorativo per GLS o no? Sa? #GLS #Amazon,other,,other,medium,
g136,28902,28901,"@AmazonHelp Already contacted customer care but they said they doesn't know anything
It's 2017 update urself guys, still cheques",service_complaint,,service_complaint,medium,
g137,29954,29954,@116316 wieviele leute können gleichzeitig bei einem amazon prime abo die videos ansehen ?,other,,other,medium,
g138,30510,30510,@115850 e mail kiya lekin koi pickup ke liye nahin aya,delivery_order_status,,delivery_order_status,short,
g139,30036,30032,@AmazonHelp And thank you for the help.,other,,other,short,
g140,27884,27886,@AmazonHelp Really? Right ok how long for a refund,refund_return,,refund_return,short,
g141,31850,31850,@117086 Prime Video cobrando em reais e por 7 reais e pouco? Tô dentro!,device_digital_content,,device_digital_content,medium,
g142,33224,33224,@AmazonHelp my father bought a book via marketplace that never arrived. He requested a refund on 30 September but has heard nothing.,seller_marketplace,,seller_marketplace,medium,
g143,630,627,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,delivery_order_status,,delivery_order_status,long,
g144,33276,33276,@116935 prime music stations are currently just looping the same song over and over again for me,other,,other,medium,
g145,34540,34540,"@AmazonHelp  Bonjour , pas moyens de link mon compte amazon prime avec twitch , comment ça se fais ? https://t.co/TyFA307KHW",other,,other,medium,
g146,34479,34479,"アマゾンさんからコンビニに配達完了してるはずなんだけどメールが来ない(^L^)こんなの初めて…

おーい",other,,other,short,
g147,33231,33229,"@AmazonHelp It was regarding a cashback, product bought in July, still haven't recd cashback",other,,other,medium,
g148,35138,35138,"@116928 de verdad creéis que se puede enviar un producto en este estado? Y siendo para un bebé ya... #NoTodoVale 
#AsiNo @123650 https://t.co/advmDYE29g",other,,other,long,
g149,34486,34490,"@AmazonHelp sur la page en question je n'ai pas ""signaler un probleme"", uniquement ""contacter le vendeur"" (site .ca)",other,,other,medium,
g150,36493,36490,"@AmazonHelp I haven't, but that's because I'm on a galaxy 7. I did, however go through their equivalent steps on my phone.",other,,other,medium,
g151,38828,38828,Dear @115850 my prime expired today but echo which extends it by a year hasn’t arrived. Help?,delivery_order_status,,delivery_order_status,medium,
g152,22574,22576,@AmazonHelp @115850 Thanks for the prompt response. Props to Bikram from Amazon. Reinstated my faith in @115850,other,,other,medium,
g153,38123,38123,@115850 y my number is blocked ? https://t.co/pPJ6uuyhPG,other,,other,short,
g154,38834,38834,@115850 I have had horrible experience with return pick up which was to arrive on 26.10.17. Still awaited. Tracking no. 710399667431,delivery_order_status,,delivery_order_status,medium,
g155,38815,38815,@AmazonHelp contact me 9897327895,service_complaint,,service_complaint,short,
g156,38139,38131,"@AmazonHelp Yes, I received a message saying my payment was declined, which I immediately went on to my account to fix, as soon as I got the email.",other,,other,long,
g157,27847,27851,@AmazonHelp Ooh..Thanks for your positive reply.Hope you will return the money as soon as possible.,refund_return,,refund_return,medium,
g158,17234,17233,@AmazonHelp I have replied to the mail also check it and provide some useful reply,other,,other,medium,
g159,41518,41517,"@AmazonHelp Thank you, your chat solved it very quickly and I do know the person who sent it! :)",other,,other,medium,
g160,43288,43287,"@AmazonHelp It replied saying ""I couldn't find any hindi party songs"". Check the screenshot from Alexa app https://t.co/qNiTG1v85J",device_digital_content,,device_digital_content,medium,
g161,46522,46522,Interesting @115830 seeing as there’s been nobody in my house ALL day?!? https://t.co/ucacofgjtt,other,,other,medium,
g162,47855,47855,@AmazonHelp I have a package that I ordered last Wednesday with Amazon Prime and it still hasn't arrived. I believe there a transit error.,delivery_order_status,,delivery_order_status,medium,
g163,47842,47842,"@115850 Order ID P04-9259181-4317392.
It's more than 15 days, where is my cashback on redBus transaction??? Already a long mail trail hpnd",payment_billing,,payment_billing,medium,
g164,47949,47949,@115821 this is ridiculous! My drum head came in a broken box and is warped and ripped https://t.co/gqxCT5oUXa,item_quality_issue,,item_quality_issue,medium,
g165,47924,47924,@116875  te amo! Una vez más todo increíble! 😻,other,,other,short,
g166,49997,49997,Hi @116618 when can I be able to watch #TheGrandTour on our my AppleTV? Decembre 2nd for the new season?,other,,other,medium,
g167,47862,47861,@AmazonHelp The other person who's stuff I got prob got mine &amp; is trying to connect too.,other,,other,medium,
g168,49919,49919,@AmazonHelp someone hacked onto my amazon account and changed the email and password what do i do????,account_access,,account_access,medium,
g169,50786,50786,@120533 @AmazonHelp va t-on recevoir notre exemplaire de #CODWWII des demain s'il vous plait ? https://t.co/YhguKdkxyQ,other,,other,medium,
g170,52232,52232,Is @115828 not carrying the PS4 version of LA Noire? I can't find it.,other,,other,medium,
g171,52205,52205,Yet another parcel that @115830 claim to have delivered that hasn't actually arrived. Wondering why I bother paying for Prime,delivery_order_status,,delivery_order_status,medium,
g172,35857,35862,@123813 cuándo llegan a las sony?,other,,other,short,
g173,54414,54414,Wozu bestelle ich dann am Sonntag etwas über Express Versand wenn es genauso lange dauert wie ein normaler Versand ? @AmazonHelp @115821 https://t.co/LogDAtYIVw,other,,other,long,
g174,55056,55056,"So, @115821 -- given that today is the Nov 1, and one-day shipping gets something delivered by Nov 2, how does two-day shipping mean Nov 6? https://t.co/u4BgGvOxaL",delivery_order_status,,delivery_order_status,long,
g175,54368,54370,@AmazonHelp If I don’t get it today can I get a refund on my one day shipping,refund_return,,refund_return,medium,
g176,52238,52234,@AmazonHelp Can you let me know what the issue is? Do you need any info?,other,,other,medium,
g177,55063,57456,@AmazonHelp read what i wrote. amazon india is listing pantry products under prime. and pantry does not have free prime shipping.,delivery_order_status,,delivery_order_status,medium,
g178,56942,56937,@AmazonHelp Is there any way i can get a refund ? Because i really meed this on release .,refund_return,,refund_return,medium,
g179,56913,56913,"Shocking delivery by @115830 - not sure @115851 would be proud of such terrible service!
Cancel my Prime membership please @AmazonHelp https://t.co/ITPIGWxB4R",prime_membership,,prime_membership,long,
g180,56891,56889,@AmazonHelp Why did it change?  That page only tells me it will be 3-5 days.,other,,other,medium,
g181,58143,58143,"So I accidentally ordered a bed frame I already own on @115821 &amp; I immediately cancelled. It never shipped, I still got charged? @AmazonHelp",payment_billing,,payment_billing,long,
g182,59526,59526,"@115821 is it possible to renew and pay for Prime membership early, a few months before it needs to be renewed? how do I do that?",prime_membership,,prime_membership,medium,
g183,58750,58749,@AmazonHelp It says it was delivered yesterday,delivery_order_status,,delivery_order_status,short,
g184,60276,60276,I cancelled an order from @115821 and they wont refund the credit card rewards I used to purchase. SO ANNOYED,refund_return,,refund_return,medium,
g185,60278,60278,"Ummm @115821, why would these two vibrators be added accessories for my T-Outliner trimmer replacement blade? https://t.co/ZLSnurmy84",refund_return,,refund_return,medium,
g186,61050,61050,"We submitted our app to @116439 over 2 week’s ago; why is it still in progress? We’re very disappointed &amp; annoyed
@115821 😡
@115851 https://t.co/5MTai6ZbB4",other,,other,long,
g187,61042,61041,@AmazonHelp even when i screwed up and forgot to cancel before my cc was charged for an additional year? (effective date was monday),payment_billing,,payment_billing,medium,
g188,63138,63138,@AmazonHelp just received the munchkin nursery projector and sound system and the volume does not work.,other,,other,medium,
g189,62155,62154,"@AmazonHelp Yep. Reset the bulb it can’t find, tried bulb in different lamp, reset WiFi, brought new bulb. Still only 2 of 3 found...",other,,other,medium,
g190,33231,33237,@AmazonHelp Already sent....,other,,other,short,
g191,66206,66204,"@AmazonHelp I’m afraid I need to retract that?!  After numerous emails &amp; phone calls, still not sorted! The words were great, just not the actions to follow it up 😩😩😩",other,,other,long,
g192,9959,9955,"@AmazonHelp amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",item_quality_issue,,item_quality_issue,medium,
g193,36350,36350,Thanks @115821 for sending out goods without packaging this Christmas 😡 Xmas Spoilers !! Even when gift box ticked 😫,other,,other,medium,
g194,21109,21109,"@117086 Chegaram rapidinho (menos de 48h depois de eu ter feito o pedido), ainda embalados no plastico e paguei mais barato do que em outras livrarias virtuais famosas. Agora só compro livro na amazon. https://t.co/7Mg2yoVjWe",other,,other,long,
